index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
153,25085,Shadowglen Elementary School,public,Manor,78653,PK-5,5,3,7.0,30.365084,-97.540375,741
154,9125,Hemphill Elementary School,public,Kyle,78640,PK-5,2,3,3.7,29.94233,-97.82714,805
155,12343,Hope Christian Academy,private,Martindale,78655,PK-12,2,5,4.7,29.85966,-97.86417,30
156,25586,Weiss High S,public,Pflugerville,78660,9-12,5,3,7.0,30.431934,-97.570015,456
157,11839,Kelly Lane Middle School,public,Pflugerville,78660,6-8,7,4,9.700000000000001,30.463251,-97.5855,1134
158,10176,Hendrickson High School,public,Pflugerville,78660,9-12,7,4,9.700000000000001,30.464884,-97.58821,3027
159,9129,Murchison Elementary School,public,Pflugerville,78660,PK-5,8,4,10.8,30.46789,-97.58584,766
160,25186,Stonehill Christian Academy,private,Pflugerville,78660,PK-8,8,4,10.8,30.455957,-97.56197,35
161,19472,Riojas Elementary School,public,Pflugerville,78660,PK-5,7,5,10.200000000000001,30.46693,-97.5684,839
162,24679,Cele Middle,public,Pflugerville,78660,6-8,7,4,9.700000000000001,30.455742,-97.55129,816
163,25587,Mott Elementary School,public,Pflugerville,78660,PK-5,7,4,9.700000000000001,30.45952,-97.553535,816
164,11840,Rowe Lane Elementary School,public,Pflugerville,78660,PK-5,9,4,11.9,30.477545,-97.562546,829
165,5609,Prairie Lea School,public,Prairie Lea,78661,PK-12,3,3,4.800000000000001,29.731325,-97.754234,169
166,9130,Red Rock Elementary School,public,Red Rock,78662,PK-4,3,5,5.800000000000001,29.958399,-97.45116,726
167,8114,Providence Christian Academy,private,Dale,78616,1-12,3,4,5.300000000000001,29.945547,-97.52919,17
168,9140,Linda Herrington Elementary School,public,Round Rock,78665,PK-5,10,4,13.0,30.555746,-97.62337,891
169,25146,Veterans Hill Elementary School,public,Round Rock,78665,PK-5,6,4,8.600000000000001,30.565615,-97.595406,554
170,5898,Forest Creek Elementary School,public,Round Rock,78664,PK-5,7,4,9.700000000000001,30.508776,-97.60995,812
171,19880,Gateway College Preparatory School,charter,Georgetown,78626,K-12,8,4,10.8,30.592962,-97.6415,1250
172,3723,Hutto High School,public,Hutto,78634,9-12,6,3,8.100000000000001,30.536396,-97.56233,1775
